Metadata	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
Urban	D_0_Bacteria|D_1_Proteobacteria|D_2_Gammaproteobacteria|D_3_Betaproteobacteriales|D_4_Burkholderiaceae|D_5_Sutterella	Medium	0.00151844191739183	177	148	1.94068187639012e-06	0.00285668372204626
Urban	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Muribaculaceae|D_5_CAG-873	Low	0.00240661395233172	177	81	0.000105677629554237	0.0518524902346122
Urban	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Muribaculaceae	Low	0.00816568893058785	177	170	8.03407684585626e-05	0.0518524902346122
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales	Medium	-0.00195640860615543	177	177	0.000221520902095946	0.0815196919713082
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Lachnospiraceae NK3A20 group	Children	-0.00011733214111904	177	65	0.00049690470495909	0.112802795207861
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Ruminococcaceae UCG-013	Medium	-0.000516319114384083	177	109	0.000449809750718172	0.112802795207861
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales|D_4_Veillonellaceae|D_5_Allisonella	Medium	6.5395325785826e-05	177	29	0.000536426335906948	0.112802795207861
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Coprococcus 1	Low	-0.000167058379266202	177	143	0.000714603155791142	0.13148698066557
Age_grp	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Prevotellaceae|D_5_Prevotellaceae UCG-003	Children	-0.00350849571080474	177	133	0.000912216322708958	0.137499285621221
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Coprococcus 1	Medium	-0.000151484672282175	177	143	0.000934098407752862	0.137499285621221
Urban	D_0_Archaea|D_1_Euryarchaeota|D_2_Methanobacteria|D_3_Methanobacteriales|D_4_Methanobacteriaceae|D_5_Methanobrevibacter	Medium	-0.000212984226000938	177	89	0.00265441985150471	0.15222986135283
Urban	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_p-2534-18B5 gut group|D_5_uncultured bacterium	Medium	-0.00301827602673403	177	74	0.00216622221458674	0.15222986135283
Gender	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_p-2534-18B5 gut group|D_5_uncultured bacterium	M	-0.00262012150389546	177	74	0.00208008813010028	0.15222986135283
Urban	D_0_Bacteria|D_1_Fibrobacteres|D_2_Fibrobacteria|D_3_Fibrobacterales|D_4_Fibrobacteraceae|D_5_Fibrobacter	Medium	-0.000130549654153926	177	17	0.00281845578054515	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Bacilli|D_3_Lactobacillales|D_4_Streptococcaceae|D_5_Streptococcus	Low	-0.00512916756931128	177	133	0.00154753807633038	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Lachnospiraceae UCG-004	Medium	0.000120808833466433	177	48	0.00272161485327325	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Marvinbryantia	Low	0.000264496169516821	177	96	0.00253254490472853	0.15222986135283
Gender	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_	M	-0.000289779314340006	177	147	0.00245670632735124	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Intestinimonas	Medium	5.20406319184912e-05	177	32	0.00251967761764484	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Negativibacillus	Medium	7.1107013228578e-05	177	34	0.00141249451181636	0.15222986135283
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales|D_4_Acidaminococcaceae|D_5_Phascolarctobacterium	Children	-0.000959278325266303	177	166	0.0024966356623195	0.15222986135283
Urban	D_0_Bacteria|D_1_Proteobacteria|D_2_Gammaproteobacteria|D_3_Aeromonadales|D_4_Succinivibrionaceae|D_5_Ruminobacter	Medium	0.0198196492761764	177	137	0.00289567671051578	0.15222986135283
Urban	D_0_Archaea|D_1_Euryarchaeota|D_2_Methanobacteria|D_3_Methanobacteriales|D_4_Methanobacteriaceae	Medium	-0.000215900267890607	177	89	0.00275594621662504	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Bacilli|D_3_Lactobacillales|D_4_Streptococcaceae	Low	-0.00520284969328565	177	138	0.00152335512507492	0.15222986135283
Gender	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Clostridiales vadinBB60 group	M	-0.0024467228386631	177	159	0.0016625420254935	0.15222986135283
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales|D_4_Acidaminococcaceae	Children	-0.000964283890677672	177	166	0.00236664886620474	0.15222986135283
Urban	D_0_Bacteria|D_1_Actinobacteria|D_2_Coriobacteriia|D_3_Coriobacteriales	Low	-0.000413278240827475	177	151	0.0012371741743875	0.15222986135283
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales	Children	-0.0014290099067361	177	177	0.00161285417387851	0.15222986135283
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Lachnospiraceae UCG-010	Low	0.000387791866608585	177	139	0.00304201769044679	0.15440862208061
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Bacilli|D_3_Bacillales|D_4_Planococcaceae|D_5_Lysinibacillus	Children	-2.05495406176295e-05	177	8	0.00354998022733619	0.163147705403595
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Oribacterium	Medium	-0.00010365077026658	177	78	0.00387919136489526	0.163147705403595
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Peptococcaceae|D_5_Peptococcus	Low	4.65019220828958e-05	177	58	0.00337784726618411	0.163147705403595
Gender	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Ruminococcaceae UCG-010	M	-0.00148972811808927	177	161	0.00386567621023372	0.163147705403595
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales|D_4_Veillonellaceae|D_5_Anaerovibrio	Medium	-0.000277920700992088	177	68	0.0035211275484954	0.163147705403595
Urban	D_0_Bacteria|D_1_Actinobacteria|D_2_Coriobacteriia|D_3_Coriobacteriales|D_4_Eggerthellaceae	Medium	-0.000211964638119583	177	113	0.00367368435829338	0.163147705403595
Gender	D_0_Bacteria|D_1_WPS-2|D_2_uncultured rumen bacterium|D_3_uncultured rumen bacterium|D_4_uncultured rumen bacterium|D_5_uncultured rumen bacterium	M	-0.000266780615819178	177	47	0.00428497965023097	0.17064675317378
Urban	D_0_Bacteria|D_1_Actinobacteria|D_2_Coriobacteriia|D_3_Coriobacteriales	Medium	-0.000337897778942519	177	151	0.00428935452950397	0.17064675317378
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Faecalibacterium	Low	-0.00450184009290964	177	177	0.00458542317691919	0.177624813590133
